Dealer_ID,Dealer_Name,Dealer_Region,Phone
1,Barad-Choudhary,Odisha,+911362798207
2,Dey-Soni,Nagaland,07748605402
3,"Mahajan, Deshmukh and Walla",Uttar Pradesh,+917098505581
4,Dewan and Sons,Arunachal Pradesh,03893679780
5,Dani-Rege,Meghalaya,+911945147166
6,Venkatesh Inc,Meghalaya,01904232931
7,"Lata, Ramakrishnan and Kumer",Haryana,05559593081
8,Loyal-Handa,Meghalaya,08776883555
9,"Gade, Madan and Goyal",Karnataka,01444306666
10,"Bhasin, Rattan and Rau",Mizoram,0526873180
11,Sem LLC,Meghalaya,+913407723936
12,"Gandhi, Sathe and Sawhney",Bihar,+912421175278
13,Char Group,Arunachal Pradesh,+912527764446
14,Barad Inc,Assam,+910716220886
15,Cherian Group,Jharkhand,5506019264
16,"Sekhon, Biswas and Ahuja",Madhya Pradesh,+912295013942
17,"Sangha, Gour and Sarraf",Manipur,09584295310
18,"Malhotra, Boase and Bath",Meghalaya,+915381227260
19,"Dugar, Dixit and Sheth",Assam,09083366623
20,Randhawa Ltd,Arunachal Pradesh,+910091219666
21,Iyer-Garde,Nagaland,04565228236
22,Yogi Inc,Bihar,04304887459
23,"Ben, Ram and Varty",Andhra Pradesh,+912459190903
24,"Lall, Ratta and Kant",Assam,5504443719
25,Sant-Rajan,Kerala,+915224618252
26,"Vora, Dani and Khatri",Punjab,09642832962
27,Bahl LLC,Chhattisgarh,6783483881
28,Keer-Kaul,Karnataka,+913753777484
29,Barman-Gandhi,Punjab,6086348368
30,Sankaran-Ganguly,Chhattisgarh,+916506463078
31,Suri Inc,Punjab,03420361305
32,Reddy-Subramaniam,Punjab,+912624286767
33,Sahota-Arora,Bihar,04930768724
34,"Wagle, Dugar and Wason",Uttarakhand,+911256978402
35,Chandra Inc,Uttar Pradesh,06783333641
36,"Jani, Deep and Dutta",West Bengal,+917253306410
37,"Sankar, Mangat and Sen",Uttarakhand,9942104903
38,Kade-Anne,Arunachal Pradesh,6805129514
39,"Ramachandran, Tailor and Kapur",Karnataka,8277562580
40,"Kuruvilla, Bora and Deol",West Bengal,5713540672
41,"Talwar, Dixit and Cheema",Chhattisgarh,+915430558397
42,Madan LLC,Manipur,+912786855894
43,"Behl, Varkey and Bhasin",Mizoram,+911281500453
44,Bera Inc,Nagaland,+918114304733
45,Master-Dutta,Goa,08495291653
46,Balasubramanian Inc,Punjab,+912965338558
47,"Kapadia, Goswami and Bora",Karnataka,01942715604
48,Guha-Bava,Andhra Pradesh,2309544091
49,"Chaudhary, Mander and Ravi",Bihar,+911188010935
50,Ganguly-Chaudhry,Haryana,+914461808784
